id,name,description
ADM.ABP,Business Coordinators,"Support the wider business in all administrative activities. Ensure that interdepartmental interactions are efficient and effective. Manage and analyze key metrics of the business and provide insights and understanding of its drivers to advise the business on results, projects, and strategic direction. Identify operational weaknesses and help refine processes or develop new ones."
ADM.AGP,Agricultural Policy Officers,"Analyze and identify agricultural policy issues and develop plans for improvement and new policy implementation. Communicate with professionals in agriculture for research and information purposes, and perform administrative duties."
ADM.BAA,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers."
ADM.BAC,Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amounts to customers' accounts, preparing statements to the credit department if customers fail to respond, initiating repossession proceedings or service disconnection, and keeping records of collections and status of accounts."
ADM.BCR,"Billing, Cost, and Rate Clerks","Compile data, compute fees and charges, and prepare invoices for billing purposes. Duties include computing costs and calculating rates for goods, services, and shipment of goods; posting data; and keeping other relevant records. May involve use of a computer or typewriter, calculator, and adding and bookkeeping machines."
ADM.CFA,Cargo and Freight Agents,"Expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals and shipping docks. Take orders from customers and arrange pickup of freight and cargo for delivery to loading platforms. Prepare and examine bills of lading to determine shipping charges and tariffs."
ADM.COP,Computer Operators,"Monitor and control electronic computers and peripheral electronic data processing equipment to process business, scientific, engineering, and other data according to operating instructions. Monitor and respond to operating and error messages. May enter commands at a computer terminal and set controls on computers and peripheral devices."
ADM.COR,Correspondence Clerks,"Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate replies and preparing correspondence."
ADM.COU,Couriers and Messengers,"Pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance."
ADM.CPL,Competition Policy Officers,"Manage the development of regional and national competition policies and laws to regulate competition and competitive practices, encourage open and transparent trade practices, and protect consumers and businesses. Provide administrative support for competition policies."
ADM.CPO,Telecommunications Policy Officers,"Support the provision of telecommunications policy advice in alignment with clearly established strategic priorities and procedures. Contribute to telecommunications policy research activities, support stakeholder engagement processes, and provide administrative support to committees and working parties."
ADM.CRA,Credit Authorizers,Authorize credit charges against customers' accounts.
ADM.CRC,Credit Checkers,Investigate the history and credit standing of individuals or business establishments applying for credit. Telephone or write to credit departments of businesses and service establishments to obtain information about applicants' credit standing.
ADM.CRT,Court Clerks,"Perform clerical duties in courts of law; prepare dockets of cases to be called; secure information for judges; and contact witnesses, attorneys, and litigants to obtain information for court."
ADM.CSC,Company Secretaries,"Support the effectiveness of the organization's board by monitoring policies and procedures and ensuring they are followed, and coordinating the timely completion and dispatch of the board's agenda and briefing material."
ADM.CUP,Cultural Policy Officers,Develop and implement policies to improve and promote cultural activities and events. Manage resources and communicate with the public and media to facilitate interest in cultural programs and emphasize their importance in a community.
ADM.DIP,Diplomats,"Represent their home nation and government in international organizations. Negotiate with the organizations' officials to ensure the home nation's interests are protected, as well as facilitate productive and friendly communication between the home nation and the international organization."
ADM.DIS,Dispatchers,"Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress."
ADM.EDP,Education Policy Officers,"Conduct research, produce reports, and administer elementary, secondary, and post-secondary education policies and programs."
ADM.ELI,"Eligibility Interviewers, Government Programs","Determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, Social Security, and public housing."
ADM.EMD,Public Safety Dispatchers,"Operate telephone, radio, or other communication systems to receive and communicate requests for emergency assistance at 9-1-1 public safety answering points and emergency operations centers. Take information from the public and other sources regarding crimes, threats, disturbances, acts of terrorism, fires, medical emergencies, and other public safety matters. May coordinate and provide information to law enforcement and emergency response personnel. May access sensitive databases and other information sources as needed. May provide additional instructions to callers based on knowledge of and certification in law enforcement, fire, or emergency medical procedures."
ADM.ENP,Environmental Policy Officers,"Research, analyze, develop, and implement policies related to the environment. Provide expert advice to entities such as commercial organizations, government agencies, and land developers to reduce the impact of industrial, commercial, and agricultural activities on the environment. Provide administrative support for environmental policies."
ADM.EXS,Executive Secretaries and Executive Administrative Assistants,"Provide high-level administrative support by conducting research, preparing statistical reports, and handling information requests, as well as performing routine administrative functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings. May also train and coordinate lower-level clerical staff."
ADM.FAO,Foreign Affairs Policy Officers,"Analyze foreign affairs policies and operations, and write reports outlining the analyses. Communicate with parties who benefit from the findings, and act as advisors in the development, implementation, or reporting on foreign policy. May also perform administrative duties in the department, such as assisting with problems concerning passports and visas."
ADM.FIL,File Clerks,"File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. Locate and remove material from files when requested."
ADM.FISP,Fiscal Affairs Policy Officers,"Research, analyze, and develop policies related to taxation and government spending in public policy sectors, and implement these policies to improve existing regulations in the sector. Collaborate with partners, external organizations, or other stakeholders and provide them with regular updates. Provide administrative support for fiscal policies."
ADM.FRF,Freight Forwarders,"Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation."
ADM.GCW,Gambling Cage Workers,"In a gambling establishment, conduct financial transactions for patrons. Accept patrons' credit applications and verify credit references to provide check-cashing authorization or to establish house credit accounts. May reconcile daily summaries of transactions to balance books. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gambling chips, tokens, or tickets to currency upon patrons' requests. May use a cash register or computer to record transactions."
ADM.GEN,Genealogists,"Conduct research into the background of individuals or families to trace history and lineage, which may be used to locate missing beneficiaries. Analyze public records, conduct informal interviews, and perform genetic analyses to gain information. Coordinate the research of archival technicians and records clerks and disseminate their research results in a report that can be presented to a client."
ADM.GOC,Office Clerks,"Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, office machine operation, and filing."
